speaker,vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on,language,register
HS10,a,5.75359375,12.42251055,15.26142168,130,0.534756075,0.162681306,-0.166120656,0.393226173,0.247647442,-1.729505136,sp,ads
HS10,o,4.628743304,7.983481894,14.16388287,60,-1.362608047,-3.213969311,-0.994931946,0.41990316,0.821426653,0.318272498,sp,ads
HS10,o,4.584046243,11.34321774,16.11408783,50,2.232825842,1.093602118,0.003934938,-0.68377367,-3.57893303,-2.006337078,sp,ads
HS10,e,5.151089666,13.48847128,15.59307708,80,0.205884632,0.671858414,0.262774933,-0.025518008,-0.23142047,-0.063404412,sp,ads
HS10,i,3.482776573,14.7614555,15.75152875,140,-0.23492201,0.308509294,0.093643165,0.039492808,0.105077947,0.515590151,sp,ads
HS10,a,6.846715976,13.07708543,15.38704809,90,2.590018575,0.222634737,0.165044726,0.09298222,-0.107014505,0.067323559,sp,ads
HS10,e,4.145374895,11.36864926,13.9708878,40.958,-0.330641703,0.205910482,-0.204159428,-0.103038881,1.017220648,-0.184373293,sp,ads
HS10,o,5.201941436,11.40242356,14.21949966,60,-0.075820355,-1.005453952,-0.908632772,-0.153294971,-0.170418974,-0.162714357,sp,ads
HS10,a,6.420740741,12.00076087,15.64498684,100,1.449580968,-0.244089558,0.02156766,-0.547575692,0.061814888,-0.113115296,sp,ads
HS10,a,7.377985612,11.98911069,15.89304606,70,0.409856247,0.093890321,-0.079460809,-0.296962594,-0.050704575,-0.241605927,sp,ads
HS10,a,6.709199255,12.70882231,15.4409736,160,0.686562401,-0.631606152,0.151895999,-0.500857009,-0.341345481,0.082097027,sp,ads
HS10,e,4.628743304,14.12464492,15.74097072,166.931,0.298450907,-0.177329092,0.311187526,-0.409028779,0.147219794,0.285839038,sp,ads
HS10,e,3.212572432,13.17586035,15.67289463,40,0.861352031,0.505702359,0.132236548,0.240494466,0.315723978,-0.191825991,sp,ads
HS10,i,5.485540166,13.71181057,15.5821987,39.386,-0.195635843,0.330092359,-0.097115404,-0.653540166,0.074703931,-0.249615364,sp,ads
HS10,a,5.501984974,12.65604356,15.67503532,22.664,0.333917477,0.237188374,0.369889119,0.08998353,0.249662729,0.122698574,sp,ads
HS10,o,5.108525383,8.670214477,15.40057971,109.483,-0.059542114,-0.33575528,-0.426346886,-0.686928045,-0.22714591,0.280872488,sp,ads
HS10,a,6.796277345,12.03945799,15.58655271,160,1.050704856,0.003860272,-0.124742547,-0.0072269,-0.175809161,0.090622435,sp,ads
HS10,o,2.097947538,9.196905072,14.85412481,24.82,0.078150677,0.305257156,-0.066687987,0.099742655,1.632462761,-0.10024896,sp,ads
HS10,a,5.912713178,12.79934325,15.45660144,50,0.593064195,-0.806368276,-0.552171037,0.148895133,-0.837490392,-0.031300884,sp,ads
HS10,a,6.650713485,12.43711275,16.04278979,127.148,0.044094242,0.222316176,0.293370954,-0.620270325,0.48898636,-0.215863195,sp,ads
HS10,a,4.884397394,11.11474747,15.89099249,125.819,1.24446633,-0.236957071,-0.19746368,-0.336241894,0.744945171,0.173688695,sp,ads
HS10,a,5.41121525,13.3753831,15.80400319,43.742,0.362568786,-0.012664001,0.19573349,0.310255798,0.02530317,-0.135392527,sp,ads
HS10,o,5.665013731,11.34321774,16.15912173,60,0.395649477,-0.213442392,-0.117527808,-0.016187661,-0.189182044,0.18561641,sp,ads
HS10,a,6.665367675,11.80008818,16.31081009,60,0.52626457,-0.36559541,-0.302596824,-0.595983059,-0.177717188,-0.01894923,sp,ads
HS10,e,4.275142379,13.99391162,15.93394763,60,-0.155543692,0.682223565,0.504164435,-1.804657558,-0.492997223,-1.192726723,sp,ads
HS10,e,4.584046243,13.32447732,15.46105827,90,0.447999045,0.725185466,-0.292579554,0.230430881,0.216710561,-0.074010174,sp,ads
HS10,a,5.928489543,11.91095433,13.81910363,60,0.377325835,0.260018922,-1.703966996,0.055025328,-0.223456417,1.089418337,sp,ads
HS10,u,2.131286765,7.613001776,14.7614555,30,0.145137897,-2.256130016,-0.213122811,0.110469868,-0.406540796,-0.239701195,sp,ads
HS10,e,5.294536741,13.47288326,15.76206565,60,0.084143798,0.015626058,0.006319608,0.033469638,0.220865247,0.489766409,sp,ads
HS10,e,5.142590507,12.93965981,15.61476761,110,1.3476568310000001,0.262455567,-0.243256986,0.260333609,0.297997175,-0.323391614,sp,ads
HS10,e,3.383442266,11.06645049,15.39156237,42.83,1.285494728,0.705141798,0.127830714,1.236376366,0.930429095,0.21020149900000001,sp,ads
HS10,e,5.575665879,13.32767069,15.50100513,50,-0.032579597,-0.117058179,-0.250523624,-0.306301624,-0.689311399,-0.432355672,sp,ads
HS10,e,5.176546185,12.63127273,15.91353719,30,1.314464273,-0.147288424,0.010235449,0.234669065,0.154222907,0.261155121,sp,ads
HS10,e,4.566115702,12.79934325,15.92375246,50,1.860633423,0.318607959,0.04715773,-0.017960202,-0.062539129,-0.315482764,sp,ads
