speaker,vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on,language,register
s01,ah,6.904041298,10.68261205,15.84767917,55.6,0.136703756,-0.432135424,16.2265026,0.028536022,-1.745054295,-0.256776001,en,ads
s01,ae,6.650713485,12.28223761,16.05076114,38.649,-0.080328181,-0.306360615,16.40966601,-0.969537476,-0.293126925,-0.227994975,en,ads
s01,ah,6.760089153,12.92949187,15.78936315,33.902,1.515957848,0.081904958,16.14477094,0.508478141,-0.064758656,0.060386754,en,ads
s01,ae,6.014824528,12.65957491,16.04079501,72.551,-0.054560088,-0.143225809,16.39680748,0.831891449,-0.003531352,-0.530952831,en,ads
s01,ih,5.583820402,13.08371673,15.54723856,67.804,-0.105427247,-0.794206334,15.88874306,-0.114751095,-0.144056913,-0.651034056,en,ads
s01,ih,5.074350282,13.88377448,16.50915582,84.077,0.517210969,0.100231074,16.85193326,-0.207390217,-0.073541917,-0.215396793,en,ads
s01,iy,4.145374895,14.8590915,16.02680976,140.355,0.41799292,0.366350362,16.36002484,0.402780606,-0.424808364,-0.422876396,en,ads
s01,iy,4.52115942,14.95508621,16.42486122,40.004,-0.415379979,0.334194261,16.75634913,-0.822852587,0.03406721,0.053310768,en,ads
s01,ah,7.00355099,13.6453282,15.95427785,77.297,0.243461837,0.78059499,16.30945416,-0.567810809,0.55476375,0.316655479,en,ads
s01,ah,6.061608311,11.73193798,15.69212976,46.107,0.733601931,0.848246218,16.07407852,-0.180521354,0.759660021,0.180343997,en,ads
s01,ah,5.705371966,11.81204846,13.95645403,44.625,0.427610175,-0.488808153,14.31924528,-0.105261773,-0.838660751,0.99374864,en,ads
s01,ah,5.168067497,12.56358131,15.97856891,60.853,0.566120302,-0.176712428,16.33542535,-0.856127698,0.145241004,-0.01010737,en,ads
s01,ah,6.752835377,11.65093541,14.86653345,67.126,1.169014975,-0.105128712,15.23668605,0.014502165,0.06890942,-0.222405903,en,ads
s01,ah,6.9752241,13.15622378,16.00475557,72.835,0.644958344,1.958772571,16.3824605,-0.592081351,-0.129086324,0.220211897,en,ads
s01,ah,3.532121212,11.4150495,13.81910363,181.038,0.309427048,0.755620254,14.20408654,1.13224736,0.239957453,0.529107089,en,ads
s01,uh,3.16183018,10.21039755,15.1986841,39.327,0.330112197,-1.081696,15.57510918,-0.18453528,-0.377220715,0.260146213,en,ads
s01,ah,4.339457203,12.32313413,15.03746684,27.8,-0.803133304,-0.336440779,15.39541323,-0.748403662,0.410178579,0.219331987,en,ads
s01,ah,6.709199255,11.15838849,16.26902648,46.785,0.963626766,0.039265581,16.64779073,-0.462596129,-0.744209745,0.055005349,en,ads
s01,ae,8.284246575,12.90910941,16.03080944,139.135,1.684995639,-0.114684733,16.38383848,-1.091642144,-0.299140632,-0.076531586,en,ads
s01,ah,5.801590023,12.98354251,13.44159296,96.282,0.349017689,1.842580251,13.82006184,0.275564917,0.770211959,3.2248688,en,ads
