,speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,learned_cats
5777,JoseAntonio,a,800,1989,3107,30.0,23.0,98.0,-74.0,113.0,73.0,-49.0,sp,ids,2
5781,JoseAntonio,a,752,1079,1748,90.0,-47.0,257.0,-12.0,81.0,-326.0,-380.0,sp,ids,2
5787,JoseAntonio,i,399,2306,3185,139.564,97.0,262.0,87.0,-150.0,394.0,11.0,sp,ids,1
5790,JoseAntonio,i,460,1254,2482,89.942,49.0,1281.0,894.0,173.0,-184.0,17.0,sp,ids,0
5797,JoseAntonio,a,729,1757,3112,90.0,-48.0,-983.0,-1170.0,149.0,-569.0,-69.0,sp,ids,2
5805,JoseAntonio,a,594,1420,2389,110.0,16.0,-9.0,261.0,135.0,110.0,-202.0,sp,ids,0
5806,JoseAntonio,a,403,1923,3392,30.0,56.0,29.0,-337.0,103.0,220.0,137.0,sp,ids,1
5809,JoseAntonio,i,392,2082,3460,30.0,44.0,-136.0,-138.0,87.0,109.0,117.0,sp,ids,3
5814,JoseAntonio,a,681,1382,2756,80.0,12.0,14.0,-131.0,44.0,171.0,103.0,sp,ids,2
5815,JoseAntonio,a,721,1173,2757,100.0,-14.0,72.0,58.0,160.0,326.0,-52.0,sp,ids,2
5820,JoseAntonio,a,840,1393,2402,260.0,-3.0,138.0,-784.0,268.0,369.0,-93.0,sp,ids,2
5821,JoseAntonio,a,1074,1650,2529,110.0,-159.0,-198.0,-435.0,-71.0,-40.0,34.0,sp,ids,1
5828,JoseAntonio,a,894,1505,2940,90.0,-20.0,108.0,-52.0,282.0,362.0,424.0,sp,ids,2
5836,JoseAntonio,a,592,1124,2229,220.0,-64.0,17.0,33.0,-82.0,-594.0,-1191.0,sp,ids,0
5839,JoseAntonio,a,511,928,2071,120.0,106.0,-21.0,172.0,25.0,-90.0,-66.0,sp,ids,0
5845,JoseAntonio,a,486,1221,1834,583.748,13.0,-114.0,380.0,21.0,-267.0,-397.0,sp,ids,0
5848,JoseAntonio,a,809,1479,2287,114.605,86.0,448.0,716.0,-57.0,-631.0,-300.0,sp,ids,2
5849,JoseAntonio,a,815,1500,2697,50.0,8.0,41.0,-47.0,109.0,-79.0,-127.0,sp,ids,2
5850,JoseAntonio,a,633,1806,3091,30.0,61.0,-89.0,-261.0,442.0,29.0,57.0,sp,ids,2
5855,JoseAntonio,i,403,1948,3095,30.0,28.0,246.0,-68.0,60.0,443.0,563.0,sp,ids,3
5856,JoseAntonio,i,624,1075,2714,322.28,-186.0,296.0,228.0,-34.0,-253.0,49.0,sp,ids,0
5857,JoseAntonio,a,890,1433,2577,339.54,-37.0,-184.0,134.0,30.0,41.0,187.0,sp,ids,2
5860,JoseAntonio,a,529,1092,2468,474.519,146.0,132.0,-122.0,107.0,3.0,18.0,sp,ids,0
5863,JoseAntonio,i,630,1306,2554,204.695,8.0,-252.0,278.0,66.0,-503.0,26.0,sp,ids,0
