speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,z_f1,z_f2
HS10,o,522,1024,2870,109.483,-78,-39,128,-6,-58,-197,sp,ads,-0.0031555876994702006,-1.548620517763713
HS10,a,737,1730,2954,160,-1,-45,42,138,0.7,-59,sp,ads,1.5484877898964888,-0.1021024490930808
HS10,o,321,1166,1798,17.771,-36,60,931,-0.6,93,-234,sp,ads,-1.4537617221031343,-1.257677790070753
HS10,a,209,1233,2735,27.302,50,-39,-214,27,-322,99,sp,ads,-2.2620596676414944,-1.1204019960184408
HS10,o,213,1116,2639,24.82,9,325,-39,6,54,-28,sp,ads,-2.233191883872267,-1.3601224124978515
HS10,a,620,1938,2895,50,19,-229,-14,73,-248,-261,sp,ads,0.7041051146465949,0.32406718020364933
HS10,a,717,1836,3173,127.148,-82,138,-106,6,61,143,sp,ads,1.4041488710503531,0.1150801504523682
HS10,a,496,1505,3098,125.819,-38,178,86,135,-55,-98,sp,ads,-0.19079618219944666,-0.5631032500150245
HS10,a,558,2112,3056,43.742,38,8,-64,43,-4,92,sp,ads,0.25665446622357413,0.6805744662499524
HS10,i,422,2700,3739,32.266,-16,-88,-739,-2,-19,-91,sp,ads,-0.7248501819301488,1.8853232259926318
HS10,e,446,2685,3664,27.302,-11,53,142,27,61,104,sp,ads,-0.551643479314786,1.8545898392645022
HS10,o,589,1558,3232,60,-2,-45,97,48,-50,-61,sp,ads,0.4803797904350845,-0.45451195024229996
HS10,a,719,1669,3311,60,-79,-43,-11,70,-95,-164,sp,ads,1.4185827629349668,-0.2270848884541411
HS10,e,428,2317,3119,60,-181,-165,-525,-17,225,236,sp,ads,-0.6815485062763081,1.1005974182010567
HS10,e,462,2096,2897,90,26,69,-33,49,215,-135,sp,ads,-0.4361723442378774,0.6477921870732809
HS10,a,622,1697,2257,60,7,-55,404,46,65,-667,sp,ads,0.7185390065312085,-0.16971589989496588
HS10,u,216,855,2602,30,10,-60,-94,13,-387,-86,sp,ads,-2.211541046045347,-1.894883341567306
HS10,e,544,2143,3036,60,4,72,245,10,5,2,sp,ads,0.1556172230312791,0.7440901321547535
HS10,e,526,1979,2967,110,31,90,-145,149,76,-116,sp,ads,0.025712196069756946,0.4080717705938702
HS10,e,335,1494,2866,42.83,131,225,95,122,154,57,sp,ads,-1.3527244789108392,-0.5856410669489861
HS10,e,578,2097,2915,50,-37,-205,-188,-4,-38,-116,sp,ads,0.40099338506970983,0.6498410795218228
HS10,e,530,1890,3109,30,28,44,130,145,-42,5,sp,ads,0.05457997983898409,0.22572034267363467
HS10,e,460,1938,3114,50,-2,-18,-150,192,89,23,sp,ads,-0.45060623612249096,0.32406718020364933
HS10,i,369,2312,2903,50,-0.7,-62,42,33,113,-474,sp,ads,-1.1073483168724085,1.0903529559583467
HS10,o,501,1010,2464,39.213,-18,97,27,70,95,-74,sp,ads,-0.1547114524879127,-1.5773050120433005
HS10,a,690,1614,3070,70,-29,-208,-9,64,-165,-183,sp,ads,1.20929133060807,-0.3397739731239495
HS10,i,391,2294,2699,40,-5,22,108,15,328,66,sp,ads,-0.9485755061416592,1.0534728918845913
HS10,e,536,1896,2828,76.744,-81,-294,-247,10,-148,-85,sp,ads,0.0978816554928248,0.2380136973648865
HS10,a,732,1744,3026,150,5,-18,51,142,-23,-26,sp,ads,1.512403060184955,-0.0734179548134932
HS10,i,320,2562,3434,67.03,26,48,-540,54,151,-120,sp,ads,-1.460978668045441,1.6025760680938397
HS10,a,828,1841,3095,117.231,-65,10,4,71,33,18,sp,ads,2.2052298706464066,0.12532461269507805
HS10,e,576,2217,3006,43.418,-9,148,-1,32,-110,321,sp,ads,0.38655949318509625,0.8957081733468595
HS10,a,717,1740,3139,70,7,17,123,157,4,-17,sp,ads,1.4041488710503531,-0.0816135246076611
HS10,u,356,1183,2995,40,-104,129,-357,13,47,38,sp,ads,-1.2011686141223967,-1.2228466184455393
HS10,a,757,1639,3168,230.802,47,6,-44,531,452,992,sp,ads,1.6928267087426245,-0.2885516619104002
HS10,e,576,2160,2912,200.261,-40,116,47,75,193,-46,sp,ads,0.38655949318509625,0.778921303779967
HS10,i,404,2567,2951,110,-17,-128,-54,-42,10,-7,sp,ads,-0.854755208891671,1.6128205303365495
HS10,a,787,1894,2928,88.85,-175,173,1,-9,137,14,sp,ads,1.9093350870118282,0.23391591246780258
HS10,a,617,1981,3226,78.075,10,-170,41,34,10,-202,sp,ads,0.6824542768196745,0.41216955549095413
HS10,e,582,2282,3134,59.568,21,216,4,12,81,-410,sp,ads,0.429861168838937,1.0288861825020876
HS10,a,762,1688,3248,68.632,-34,4,57,14,5,-83,sp,ads,1.7289114384541586,-0.18815593193184363
HS10,o,510,1313,2461,80,16,-60,-416,-31,-1530,-1658,sp,ads,-0.08975893900715164,-0.956490600135083
HS10,e,579,2077,2860,240,-91,301,62,34,-138,-56,sp,ads,0.40821033101201665,0.6088632305509835
HS10,a,846,1763,2961,63.539,-32,47,64,35,-138,73,sp,ads,2.3351348976079285,-0.03448899829119574
HS10,u,247,906,2644,30,25,-10,-116,36,-126,-312,sp,ads,-1.9878157218338366,-1.7903898266916656
HS10,a,587,1597,2991,90,-33,-40,-13,41,-85,-73,sp,ads,0.4659458985504709,-0.37460514474916307
HS10,u,377,1047,2843,70,0.5,89,-48,16,-32,22,sp,ads,-1.0496127493339542,-1.5014959914472474
HS10,e,409,1792,3009,50,21,41,-105,118,134,25,sp,ads,-0.818670479180137,0.024928882716521442
HS10,o,480,1190,2939,38.471,-7,-129,-22,-4,-1,-0.9,sp,ads,-0.30626731727635526,-1.2085043713057455
HS10,a,598,1656,3012,50,46,-91,-109,55,-76,37,sp,ads,0.5453323039158455,-0.25372049028518673
HS10,a,753,1796,2864,110,-94,-50,-60,69,-175,-18,sp,ads,1.6639589249733975,0.03312445251068933
HS10,e,421,2118,2877,40,42,98,-21,43,156,-17,sp,ads,-0.7320671278724556,0.6928678209412042
HS10,e,563,2466,3533,28.543,-7,164,-378,25,152,-331,sp,ads,0.29273919593510805,1.4058823930338105
HS10,o,570,1447,2952,50,45,-15,913,150,-155,54,sp,ads,0.34325781753125556,-0.6819390120304588
HS10,o,378,1371,2998,40,23,-161,-141,74,-106,-155,sp,ads,-1.0423958033916474,-0.8376548381196487
HS10,u,282,837,3291,40,30,118,-521,61,-25,596,sp,ads,-1.735222613853099,-1.9317634056410615
HS10,a,569,1747,3015,40,-5,-67,19,47,-20,-10,sp,ads,0.33604087158894874,-0.06727127746786729
HS10,e,503,1840,2927,60,22,-11,-54,62,-15,15,sp,ads,-0.14027756060329916,0.12327572024653609
HS10,a,588,1668,3365,35.758,59,-125,-80,-44,-31,89,sp,ads,0.47316284449277773,-0.22913378090268305
HS10,u,251,664,3008,26.275,-15,238,-369,33,-2267,-397,sp,ads,-1.9589479380646093,-2.2862217992388225
HS10,a,521,1763,3105,70,-12,29,-174,275,181,75,sp,ads,-0.010372533641776987,-0.03448899829119574
HS10,u,249,794,2585,110,42,58,29,43,-570,-239,sp,ads,-1.973381829949223,-2.019865780928366
HS10,e,362,1958,2810,150,-25,57,30,105,48,-119,sp,ads,-1.157866938468556,0.3650450291744888
HS10,i,332,2700,3113,650,-59,10,-61,51,-179,-103,sp,ads,-1.3743753167377597,1.8853232259926318
HS10,e,534,1596,2797,30,-10,10,39,-42,-72,14,sp,ads,0.08344776360821124,-0.376654037197705
HS10,e,651,1799,3064,40,0.6,85,-17,43,-47,-36,sp,ads,0.9278304388581052,0.03927112985631525
HS10,a,593,2530,3034,47.158,-9,121,106,-15,27,14,sp,ads,0.5092475742043117,1.5370115097404966
HS10,a,768,1721,3035,140.3,5,-39,44,37,-38,64,sp,ads,1.7722131141079993,-0.12054248112995855
HS10,a,530,1745,2864,119.136,142,-31,168,67,46,42,sp,ads,0.05457997983898409,-0.07136906236495123
HS10,a,510,1146,2899,40,25,-56,28,60,-34,24,sp,ads,-0.08975893900715164,-1.2986556390415924
HS10,o,379,1308,2998,50,22,-190,-198,40,-16,549,sp,ads,-1.0351788574493406,-0.9667350623777929
HS10,i,308,2560,3002,80,6,-909,281,85,356,193,sp,ads,-1.5475820193531225,1.5984782831967559
HS10,i,377,2447,2976,60,-110,-131,32,-30,63,76,sp,ads,-1.0496127493339542,1.366953436511513
HS10,a,531,2251,2844,30,-78,-396,-47,-6,31,-3,sp,ads,0.061796925781290875,0.9653705165972865
HS10,e,409,2756,3045,73.219,-28,-36,134,-20,134,-9,sp,ads,-0.818670479180137,2.0000612031109823
HS10,a,764,1712,3008,69.097,-55,64,5,16,5,-447,sp,ads,1.743345330338772,-0.1389825131668363
HS10,a,727,1727,2926,92.314,-76,-69,4,176,93,42,sp,ads,1.476318330473421,-0.10824912643870672
HS10,i,382,2483,2875,28.265,-40,-28,-211,-6,-55,-79,sp,ads,-1.0135280196224203,1.440713564659024
HS10,o,578,2333,3364,38.228,-3,-9,41,5,67,287,sp,ads,0.40099338506970983,1.1333796973777281
HS10,e,238,1102,2671,30,35,321,114,-2,-53,-74,sp,ads,-2.0527682353145975,-1.3888069067774391
HS10,o,551,1411,3042,70,-13,-134,-174,195,-234,-131,sp,ads,0.2061358446274266,-0.7556991401779698
HS10,o,376,1448,2930,30,27,-24,45,55,-142,-107,sp,ads,-1.056829695276261,-0.6798901195819168
HS10,a,532,1811,2339,39.712,18,-140,354,36,-155,-251,sp,ads,0.06901387172359766,0.06385783923881891
HS10,i,404,2437,2557,38.471,30,-161,2,19,-42,-66,sp,ads,-0.854755208891671,1.3464645120260932
HS10,e,405,1890,2935,50,-1,101,-73,38,79,11,sp,ads,-0.8475382629493642,0.22572034267363467
HS10,u,212,719,2760,42.972,88,76,-140,-5,-57,60,sp,ads,-2.240408829814574,-2.1735327145690144
HS10,a,652,1834,2974,160,2,-134,123,10,-55,-134,sp,ads,0.935047384800412,0.11098236555528426
HS10,e,413,2612,3028,52.122,-8,-72,142,-4,50,-585,sp,ads,-0.78980269541091,1.7050206905209384
HS10,a,537,1768,3051,64.532,-62,-21,79,2,13,91,sp,ads,0.1050986014351316,-0.02424453604848588
HS10,a,413,1335,2847,40,128,648,313,49,253,167,sp,ads,-0.78980269541091,-0.9114149662671597
HS10,o,357,1181,2800,30,8,-88,89,17,-59,45,sp,ads,-1.19395166818009,-1.2269444033426233
HS10,i,334,2553,2832,80,7,159,-60,126,297,45,sp,ads,-1.359941424853146,1.584136036056962
HS10,i,378,2627,2950,100,2,-175,-74,-142,115,-108,sp,ads,-1.0423958033916474,1.7357540772490678
HS10,a,252,1880,3168,150.681,417,306,102,48,27,-219,sp,ads,-1.9517309921223025,0.20523141818821497
HS10,e,237,1376,2085,40,-7,666,1183,21,-186,-649,sp,ads,-2.0599851812569043,-0.8274103758769388
HS10,o,396,1247,2799,70,13,3,-247,41,14,-42,sp,ads,-0.9124907764301253,-1.0917175017388532
HS10,e,256,1790,2794,30,12,-30,-28,21,41,-87,sp,ads,-1.9228632083530754,0.0208310978194375
HS10,e,572,1929,3051,50,-57,-53,-106,-11,2,171,sp,ads,0.35769170941586914,0.30562714816677156
HS10,e,588,2015,2689,100,8,51,491,51,68,-232,sp,ads,0.47316284449277773,0.48183189874138116
HS10,a,509,1682,2203,90,-75,391,612,91,-169,-681,sp,ads,-0.09697588494945843,-0.20044928662309544
HS10,e,536,2161,2987,50,1,-172,-174,224,241,-41,sp,ads,0.0978816554928248,0.780970196228509
HS10,o,599,2539,3622,30,-19,40,-575,-15,47,131,sp,ads,0.5525492498581523,1.5554515417773744
HS10,o,566,2477,3513,60,24,51,11,169,428,-337,sp,ads,0.3143900337620284,1.428420209967772
HS10,e,469,1689,1996,30,-12,-47,513,1,0.6,-978,sp,ads,-0.38565372264172987,-0.18610703948330165
HS10,o,501,955,2824,100,-21,448,-687,247,-158,89,sp,ads,-0.1547114524879127,-1.6899940967131089
HS10,e,425,2172,2913,66.817,18,159,-93,107,250,15,sp,ads,-0.7031993441032285,0.8035080131624708
HS10,i,375,2536,3038,100.694,6,-275,-300,4,4,134,sp,ads,-1.0640466412185678,1.5493048644317484
HS10,e,370,2413,2876,69.306,2,59,-140,99,265,-46,sp,ads,-1.1001313709301017,1.297291093261086
HS10,a,759,1645,3214,90,-3,-121,-36,58,-86,88,sp,ads,1.7072606006272382,-0.2762583072191484
HS10,e,343,1705,2811,50,135,195,128,60,158,-126,sp,ads,-1.294988911372385,-0.15332476030663011
HS10,u,320,872,2784,50,-33,-79,-123,-42,-126,-260,sp,ads,-1.460978668045441,-1.8600521699420927
HS10,o,457,1071,2919,40,4,126,-33,156,186,123,sp,ads,-0.4722570739494113,-1.4523225726822402
