speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register
s01,ih,609,2190,3375,99.673,-95,-473,-119,75,-73,42,en,ads
s01,iy,501,2568,3277,73.229,52,-142,-52,132,716,555,en,ads
s01,ih,567,2366,3230,44.073,-30,-155,74,7,-152,-40,en,ads
s01,ih,517,2540,3387,25.765,-36,-47,34,-28,-6,84,en,ads
s01,ih,442,2463,3263,35.259,109,49,-15,22,-5,186,en,ads
s01,ih,453,2407,3122,67.804,-27,-445,-768,97,-68,-86,en,ads
s01,eh,454,1135,1977,112.555,414,837,854,-384,-764,-1268,en,ads
s01,ah,644,1647,3269,53.565,-148,90,-76,196,45,-26,en,ads
s01,ah,539,1637,3412,96.283,32,-71,23,-0.4,113,201,en,ads
s01,ah,680,1374,3008,67.126,-64,-43,-83,9,14,54,en,ads
s01,ah,818,2015,2969,76.619,-331,-26,-7,276,36,15,en,ads
s01,ah,893,1969,3236,158.662,-86,-123,-100,117,-108,-69,en,ads
s01,ah,943,2061,3171,115.267,-131,-107,-74,248,22,-19,en,ads
s01,eh,789,2053,2861,137.643,-169,152,57,151,367,528,en,ads
s01,eh,743,2266,3094,100.737,-137,300,173,52,320,191,en,ads
s01,ah,538,1514,2414,37.292,-41,124,-292,21,138,452,en,ads
s01,ah,547,1695,2310,45.429,-27,-286,-67,24,-82,221,en,ads
s01,ih,560,1526,2148,53.566,-15,-42,41,-5,-173,116,en,ads
s01,eh,846,2137,2871,71.195,-110,-220,-6,217,12,299,en,ads
s01,ih,587,1975,3017,58.99,-58,72,35,101,-2,108,en,ads
s01,ih,480,1900,2420,60,13,287,75,46,-108,176,en,ads
s01,aa,898,1703,2873,89.502,-301,-80,-380,158,-30,-210,en,ads
s01,ih,505,2225,2939,38.648,51,-260,-67,51,-208,11,en,ads
s01,uh,490,2169,3116,34.58,-40,35,-58,-7,100,-22,en,ads
s01,iy,429,2684,3278,81.064,-53,32,-42,-37,40,12,en,ads
s01,ih,423,2445,3258,33.526,29,-11,-41,17,99,792,en,ads
s01,ih,335,2720,3087,33.224,35,-104,99,53,-119,-83,en,ads
s01,eh,467,2516,3334,55.6,-65,121,-66,-13,676,614,en,ads
s01,aa,637,1497,2673,128.828,-72,183,-34,20,-332,-76,en,ads
s01,uh,195,2113,2700,21.019,1863,522,855,-15,24,-211,en,ads
s01,iy,433,2496,2911,84.755,33,-144,-412,21,36,-110,en,ads
s01,aa,440,1256,2576,83.399,-52,-101,-70,-66,27,55,en,ads
s01,ah,822,1863,2974,65.77,-81,-74,-51,-44,-23,-51,en,ads
s01,ah,803,2019,3245,84.755,6,-36,-66,115,-15,-156,en,ads
