,speaker,vowel,f1,f2,f3,duration,df1_on,df2_on,df3_on,df1_off,df2_off,df3_off,language,register,z_f1,z_f2,learned_cats
128,HS10,i,567,2221,2952,39.386,-77.0,25.0,-112,-24.0,107.0,-44.0,sp,ads,0.3216069797043352,0.9039037431410274,2
129,HS10,a,569,1897,2995,22.664,11.0,72.0,59,40.0,66.0,167.0,sp,ads,0.3360408715889487,0.2400625898134284,1
130,HS10,a,415,1669,2807,40.0,63.0,-25.0,527,63.0,263.0,742.0,sp,ads,-0.7753688035262963,-0.2270848884541411,1
131,HS10,o,522,1024,2870,109.483,-78.0,-39.0,128,-6.0,-58.0,-197.0,sp,ads,-0.0031555876994702,-1.548620517763713,3
132,HS10,a,737,1730,2954,160.0,-1.0,-45.0,42,138.0,0.7,-59.0,sp,ads,1.5484877898964888,-0.1021024490930808,2
133,HS10,o,321,1166,1798,17.771,-36.0,60.0,931,-0.6,93.0,-234.0,sp,ads,-1.4537617221031345,-1.257677790070753,3
134,HS10,a,209,1233,2735,27.302,50.0,-39.0,-214,27.0,-322.0,99.0,sp,ads,-2.2620596676414944,-1.1204019960184408,3
135,HS10,o,213,1116,2639,24.82,9.0,325.0,-39,6.0,54.0,-28.0,sp,ads,-2.233191883872267,-1.3601224124978517,1
136,HS10,a,620,1938,2895,50.0,19.0,-229.0,-14,73.0,-248.0,-261.0,sp,ads,0.7041051146465949,0.3240671802036493,2
137,HS10,a,717,1836,3173,127.148,-82.0,138.0,-106,6.0,61.0,143.0,sp,ads,1.4041488710503531,0.1150801504523682,2
138,HS10,a,496,1505,3098,125.819,-38.0,178.0,86,135.0,-55.0,-98.0,sp,ads,-0.1907961821994466,-0.5631032500150245,2
139,HS10,a,558,2112,3056,43.742,38.0,8.0,-64,43.0,-4.0,92.0,sp,ads,0.2566544662235741,0.6805744662499524,2
140,HS10,i,422,2700,3739,32.266,-16.0,-88.0,-739,-2.0,-19.0,-91.0,sp,ads,-0.7248501819301488,1.885323225992632,2
141,HS10,e,446,2685,3664,27.302,-11.0,53.0,142,27.0,61.0,104.0,sp,ads,-0.551643479314786,1.8545898392645024,2
142,HS10,o,589,1558,3232,60.0,-2.0,-45.0,97,48.0,-50.0,-61.0,sp,ads,0.4803797904350845,-0.4545119502422999,1
